RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1883323709,34757157812124201130195894589,15891586980470449293777068861,1866020713,3473737896946584693,3473525673970054005,1868836925,1886862653,1884372285,1883323709,1883323709,1883323709,8092457744812038010,1
1886862653,34757157812200773297501588797,3700095442385059133,1866018666,8678483994702985277,3473525673970054005,1868837949,1883323709,8242847815683889469,1883323709,1884372285,1883323709,8092466536624052021,0
1885814077,34757157812112117475931806013,3634202011178712381,1867394928,3473737896946584693,3473525673970054005,1868836925,1917926717,8092531377746699575,1885814077,1883323709,1884372285,8092466532345858870,1
1867595069,34757157793681938644388501821,3545532686216412477,1866031721,3473737896946584693,3473525673970054005,1886673213,1883323709,1884372285,1886862653,1884372285,1884372285,8236655366193767229,0
1866546493,34757157793677468330809061181,15562962329902754878689915965,1919185522,8678483994702985277,3473525673970054005,1868855101,1886862653,8092462160052372279,1883323709,1883323709,1883323709,8031152279311701309,0
1870085437,34757157830643002789352390973,829384053,1866036853,8678483994702985277,3623486969687260477,1868854077,1917926717,8092466532331901739,1886862653,1883323709,1884372285,8092535775794647865,1
1869036861,34757157830702948111761624381,15227886705218540706655852861,1919169392,3473737896946584693,3623486969687260477,1867397181,1869036861,1884372285,1886862653,1883323709,1883323709,8092457749122338109,0
1917926717,34757157812184170680496385853,3634178921434460017,1886677620,14990006938789327562078240061,3473525673970054005,1882806589,1867595069,8092466558085977913,1867595069,1883323709,1884372285,8092466506545321785,1
1916878141,34757157793809460002976588605,861499197,1867394929,3473737896946584693,3623486969687260477,1868854077,1867595069,8092535805843690294,1886862653,1884372285,1883323709,8031174230872769853,0
1884174397,34757157830702948150448452413,862208317,1866032758,3473737896946584693,3623486969687260477,1882810173,1886862653,8092540229674288948,1883323709,1883323709,1883323709,8031105004570628413,0
1884173373,34757157793743333475323366717,3545583285122911349,1867395946,3473737896946584693,3623486969687260477,1886663741,1870085437,8092457740518114105,1886862653,1884372285,1884372285,8242765382410125629,0
1884172349,34757157793677468038702384445,15253353228539574290928319805,1868849779,8678483994702985277,3623486969687260477,1882813245,1885814077,1884372285,1886862653,1883323709,1884372285,8031165460562462013,0
1884190525,34757157812124192316903807293,862926441,1868851828,3473737896946584693,3473525673970054005,1886679869,1884174397,1884372285,1886862653,1883323709,1884372285,8086616035254027581,0
1884189501,34757157812256190861124519229,3562177402488569149,1867413097,3473737896946584693,3473525673970054005,1882812221,1866546493,1884372285,1886862653,1884372285,1884372285,8092513824234623800,0
1884188477,34757157812128687416843649341,8678288255784146237,1866037877,8678483994702985277,3473525673970054005,1886678845,1869036861,1884372285,1886862653,1883323709,1883323709,8014562809196462397,0
1884187453,34757157812200749404580368701,14989788695375404085397241149,1866020724,14990006938789327562078240061,3623486969687260477,1868853053,1885814077,8092535801544855417,1886862653,1884372285,1883323709,8014567232997382461,0
1884186429,34757157793677468008635121981,8661621867182765117,1866035823,14990006938789327562078240061,3623486969687260477,1867408189,1883323709,8092540203904485173,1883323709,1883323709,1884372285,8020400116430093629,1
1884185405,34757157793826100016264474429,15891864437952851174111195721,1867413097,8678483994702985277,3473525673970054005,1882813245,1916878141,1884372285,1886862653,1883323709,1883323709,8092535831613498173,0
